release_year,album,title,lyrics
1961,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Hard Times In New York Town,"Come you ladies and you gentlemen, a-listen to my song

Sing it to you right, but you might think it’s wrong

Just a little glimpse of a story I’ll tell

’Bout an East Coast city that you all know well

It’s hard times in the city

Livin’ down in New York town



Old New York City is a friendly old town

From Washington Heights to Harlem on down

There’s a-mighty many people all millin’ all around

They’ll kick you when you’re up and knock you when you’re down

It’s hard times in the city

Livin’ down in New York town



It’s a mighty long ways from the Golden Gate

To Rockefeller Plaza ’n’ the Empire State.

Mister Rockefeller sets up as high as a bird

Old Mister Empire never says a word

It’s hard times from the country

Livin’ down in New York town



Well, it’s up in the mornin’ tryin’ to find a job of work

Stand in one place till your feet begin to hurt

If you got a lot o’ money you can make yourself merry

If you only got a nickel, it’s the Staten Island Ferry

And it’s hard times in the city

Livin’ down in New York town



Mister Hudson come a-sailin’ down the stream

And old Mister Minuet paid for his dream

Bought your city on a one-way track

’F I had my way I’d sell it right back

And it’s hard times in the city

Livin’ down in New York town



I’ll take all the smog in Cal-i-for-ne-ay

’N’ every bit of dust in the Oklahoma plains

’N’ the dirt in the caves of the Rocky Mountain mines

It’s all much cleaner than the New York kind

And it’s hard times in the city

Livin’ down in New York town



So all you newsy people, spread the news around

You c’n listen to m’ story, listen to m’ song

You c’n step on my name, you c’n try ’n’ get me beat

When I leave New York, I’ll be standin’ on my feet

And it’s hard times in the city

Livin’ down in New York town"
1961,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Man on the street,"’ll sing you a song, ain’t very long

’Bout an old man who never done wrong

How he died nobody can say

They found him dead in the street one day



Well, the crowd, they gathered one fine morn

At the man whose clothes ’n’ shoes were torn

There on the sidewalk he did lay

They stopped ’n’ stared ’n’ walked their way



Well, the p’liceman come and he looked around

“Get up, old man, or I’m a-takin’ you down”

He jabbed him once with his billy club

And the old man then rolled off the curb



Well, he jabbed him again and loudly said

“Call the wagon; this man is dead”

The wagon come, they loaded him in

I never saw the man again



I’ve sung you my song, it ain’t very long

’Bout an old man who never done wrong

How he died no one can say

They found him dead in the street one day"
1962,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Talkin’ Bear Mountain Picnic Massacre Blues,"I saw it advertised one day

Bear Mountain picnic was comin’ my way

“Come along ’n’ take a trip

We’ll bring you up there on a ship

Bring the wife and kids

Bring the whole family”

Yippee!



Well, I run right down ’n’ bought a ticket

To this Bear Mountain Picnic

But little did I realize

I was in for a picnic surprise

Had nothin’ to do with mountains

I didn’t even come close to a bear



Took the wife ’n’ kids down to the pier

Six thousand people there

Everybody had a ticket for the trip

“Oh well,” I said, “it’s a pretty big ship

Besides, anyway, the more the merrier”



Well, we all got on ’n’ what d’ya think

That big old boat started t’ sink

More people kept a-pilin’ on

That old ship was a-slowly goin’ down

Funny way t’ start a picnic



Well, I soon lost track of m’ kids ’n’ wife

So many people there I never saw in m’ life

That old ship sinkin’ down in the water

Six thousand people tryin’ t’ kill each other

Dogs a-barkin’, cats a-meowin’

Women screamin’, fists a-flyin’, babies cryin’

Cops a-comin’, me a-runnin’

Maybe we just better call off the picnic



I got shoved down ’n’ pushed around

All I could hear there was a screamin’ sound

Don’t remember one thing more

Just remember wakin’ up on a little shore

Head busted, stomach cracked

Feet splintered, I was bald, naked . . .

Quite lucky to be alive though



Feelin’ like I climbed outa m’ casket

I grabbed back hold of m’ picnic basket

Took the wife ’n’ kids ’n’ started home

Wishin’ I’d never got up that morn



Now, I don’t care just what you do

If you wanta have a picnic, that’s up t’ you

But don’t tell me about it, I don’t wanta hear it

’Cause, see, I just lost all m’ picnic spirit

Stay in m’ kitchen, have m’ own picnic . . .

In the bathroom



Now, it don’t seem to me quite so funny

What some people are gonna do f’r money

There’s a bran’ new gimmick every day

Just t’ take somebody’s money away

I think we oughta take some o’ these people

And put ’em on a boat, send ’em up to Bear Mountain . . .

For a picnic
"
1962,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Let Me Die in My Footsteps,"I will not go down under the ground

’Cause somebody tells me that death’s comin’ ’round

An’ I will not carry myself down to die

When I go to my grave my head will be high

Let me die in my footsteps

Before I go down under the ground



There’s been rumors of war and wars that have been

The meaning of life has been lost in the wind

And some people thinkin’ that the end is close by

’Stead of learnin’ to live they are learnin’ to die

Let me die in my footsteps

Before I go down under the ground



I don’t know if I’m smart but I think I can see

When someone is pullin’ the wool over me

And if this war comes and death’s all around

Let me die on this land ’fore I die underground

Let me die in my footsteps

Before I go down under the ground



There’s always been people that have to cause fear

They’ve been talking of the war now for many long years

I have read all their statements and I’ve not said a word

But now Lawd God, let my poor voice be heard

Let me die in my footsteps

Before I go down under the ground



If I had rubies and riches and crowns

I’d buy the whole world and change things around

I’d throw all the guns and the tanks in the sea

For they are mistakes of a past history

Let me die in my footsteps

Before I go down under the ground



Let me drink from the waters where the mountain streams flood

Let the smell of wildflowers flow free through my blood

Let me sleep in your meadows with the green grassy leaves

Let me walk down the highway with my brother in peace

Let me die in my footsteps

Before I go down under the ground



Go out in your country where the land meets the sun

See the craters and the canyons where the waterfalls run

Nevada, New Mexico, Arizona, Idaho

Let every state in this union seep down deep in your souls

And you’ll die in your footsteps

Before you go down under the ground"
1962,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991","Rambling, Gambling Willie","Come around you rovin’ gamblers and a story I will tell

About the greatest gambler, you all should know him well

His name was Will O’Conley and he gambled all his life

He had twenty-seven children, yet he never had a wife

And it’s ride, Willie, ride

Roll, Willie, roll

Wherever you are a-gamblin’ now, nobody really knows



He gambled in the White House and in the railroad yards

Wherever there was people, there was Willie and his cards

He had the reputation as the gamblin’est man around

Wives would keep their husbands home when Willie came to town

And it’s ride, Willie, ride

Roll, Willie, roll

Wherever you are a-gamblin’ now, nobody really knows



Sailin’ down the Mississippi to a town called New Orleans

They’re still talkin’ about their card game on that Jackson River Queen

“I’ve come to win some money,” Gamblin’ Willie says

When the game finally ended up, the whole damn boat was his

And it’s ride, Willie, ride

Roll, Willie, roll

Wherever you are a-gamblin’ now, nobody really knows



Up in the Rocky Mountains in a town called Cripple Creek

There was an all-night poker game, lasted about a week

Nine hundred miners had laid their money down

When Willie finally left the room, he owned the whole damn town

And it’s ride, Willie, ride

Roll, Willie, roll

Wherever you are a-gamblin’ now, nobody really knows



But Willie had a heart of gold and this I know is true

He supported all his children and all their mothers too

He wore no rings or fancy things, like other gamblers wore

He spread his money far and wide, to help the sick and the poor

And it’s ride, Willie, ride

Roll, Willie, roll

Wherever you are a-gamblin’ now, nobody really knows



When you played your cards with Willie, you never really knew

Whether he was bluffin’ or whether he was true

He won a fortune from a man who folded in his chair

The man, he left a diamond flush, Willie didn’t even have a pair

And it’s ride, Willie, ride

Roll, Willie, roll

Wherever you are a-gamblin’ now, nobody really knows



It was late one evenin’ during a poker game

A man lost all his money, he said Willie was to blame

He shot poor Willie through the head, which was a tragic fate

When Willie’s cards fell on the floor, they were aces backed with eights

And it’s ride, Willie, ride

Roll, Willie, roll

Wherever you are a-gamblin’ now, nobody really knows



So all you rovin’ gamblers, wherever you might be

The moral of the story is very plain to see

Make your money while you can, before you have to stop

For when you pull that dead man’s hand, your gamblin’ days are up

And it’s ride, Willie, ride

Roll, Willie, roll

Wherever you are a-gamblin’ now, nobody really knows"
1962,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Talkin’ Hava Negeilah Blues,"Here's a foreign song I learned in Utah

Ha-va-ne-gei-lah

O-de-ley-e-e-oo-"
1962,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Quit Your Low Down Ways,"Oh, you can read out your Bible

You can fall down on your knees, pretty mama

And pray to the Lord

But it ain’t gonna do no good.



You’re gonna need

You’re gonna need my help someday

Well, if you can’t quit your sinnin’

Please quit your low down ways



Well, you can run down to the White House

You can gaze at the Capitol Dome, pretty mama

You can pound on the President’s gate

But you oughta know by now it’s gonna be too late



You’re gonna need

You’re gonna need my help someday

Well, if you can’t quit your sinnin’

Please quit your low down ways



Well, you can run down to the desert

Throw yourself on the burning sand

You can raise up your right hand, pretty mama

But you better understand you done lost your one good man



You’re gonna need

You’re gonna need my help someday

Well, if you can’t quit your sinnin’

Please quit your low down ways



And you can hitchhike on the highway

You can stand all alone by the side of the road

You can try to flag a ride back home, pretty mama

But you can’t ride in my car no more



You’re gonna need

You’re gonna need my help someday

Well, if you can’t quit your sinnin’

Please quit your low down ways



Oh, you can read out your Bible

You can fall down on your knees, pretty mama

And pray to the Lord

But it ain’t gonna do no good



You’re gonna need

You’re gonna need my help someday

Well, if you can’t quit your sinnin’

Please quit your low down ways"
1962,Bob Dylan,Talkin' New York,"Ramblin’ outa the wild West
 
 Leavin’ the towns I love the best
 
 Thought I’d seen some ups and downs
 
 ’Til I come into New York town
 
 People goin’ down to the ground
 
 Buildings goin’ up to the sky
 
 
 
 Wintertime in New York town
 
 The wind blowin’ snow around
 
 Walk around with nowhere to go
 
 Somebody could freeze right to the bone
 
 I froze right to the bone
 
 New York Times said it was the coldest winter in seventeen years
 
 I didn’t feel so cold then
 
 
 
 I swung onto my old guitar
 
 Grabbed hold of a subway car
 
 And after a rocking, reeling, rolling ride
 
 I landed up on the downtown side
 
 Greenwich Village
 
 
 
 I walked down there and ended up
 
 In one of them coffee-houses on the block
 
 Got on the stage to sing and play
 
 Man there said, “Come back some other day
 
 You sound like a hillbilly
 
 We want folk singers here”
 
 
 
 Well, I got a harmonica job, begun to play
 
 Blowin’ my lungs out for a dollar a day
 
 I blowed inside out and upside down
 
 The man there said he loved m’ sound
 
 He was ravin’ about how he loved m’ sound
 
 Dollar a day’s worth
 
 
 
 And after weeks and weeks of hangin’ around
 
 I finally got a job in New York town
 
 In a bigger place, bigger money too
 
 Even joined the union and paid m’ dues
 
 
 
 Now, a very great man once said
 
 That some people rob you with a fountain pen
 
 It didn’t take too long to find out
 
 Just what he was talkin’ about
 
 A lot of people don’t have much food on their table
 
 But they got a lot of forks ’n’ knives
 
 And they gotta cut somethin’
 
 
 
 So one mornin’ when the sun was warm
 
 I rambled out of New York town
 
 Pulled my cap down over my eyes
 
 And headed out for the western skies
 
 So long, New York
 
 Howdy, East Orange"
1962,Bob Dylan,Song to Woody,"I’m out here a thousand miles from my home
 
 Walkin’ a road other men have gone down
 
 I’m seein’ your world of people and things
 
 Your paupers and peasants and princes and kings
 
 
 
 Hey, hey, Woody Guthrie, I wrote you a song
 
 ’Bout a funny ol’ world that’s a-comin’ along
 
 Seems sick an’ it’s hungry, it’s tired an’ it’s torn
 
 It looks like it’s a-dyin’ an’ it’s hardly been born
 
 
 
 Hey, Woody Guthrie, but I know that you know
 
 All the things that I’m a-sayin’ an’ a-many times more
 
 I’m a-singin’ you the song, but I can’t sing enough
 
 ’Cause there’s not many men that done the things that you’ve done
 
 
 
 Here’s to Cisco an’ Sonny an’ Leadbelly too
 
 An’ to all the good people that traveled with you
 
 Here’s to the hearts and the hands of the men
 
 That come with the dust and are gone with the wind
 
 
 
 I’m a-leavin’ tomorrow, but I could leave today
 
 Somewhere down the road someday
 
 The very last thing that I’d want to do
 
 Is to say I’ve been hittin’ some hard travelin’ too"
1963,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Who Killed Davey Moore?,"Who killed Davey Moore

Why an’ what’s the reason for?



“Not I,” says the referee

“Don’t point your finger at me

I could’ve stopped it in the eighth

An’ maybe kept him from his fate

But the crowd would’ve booed, I’m sure

At not gettin’ their money’s worth

It’s too bad he had to go

But there was a pressure on me too, you know

It wasn’t me that made him fall

No, you can’t blame me at all”



Who killed Davey Moore

Why an’ what’s the reason for?



“Not us,” says the angry crowd

Whose screams filled the arena loud

“It’s too bad he died that night

But we just like to see a fight

We didn’t mean for him t’ meet his death

We just meant to see some sweat

There ain’t nothing wrong in that

It wasn’t us that made him fall

No, you can’t blame us at all”



Who killed Davey Moore

Why an’ what’s the reason for?



“Not me,” says his manager

Puffing on a big cigar

“It’s hard to say, it’s hard to tell

I always thought that he was well

It’s too bad for his wife an’ kids he’s dead

But if he was sick, he should’ve said

It wasn’t me that made him fall

No, you can’t blame me at all”



Who killed Davey Moore

Why an’ what’s the reason for?



“Not me,” says the gambling man

With his ticket stub still in his hand

“It wasn’t me that knocked him down

My hands never touched him none

I didn’t commit no ugly sin

Anyway, I put money on him to win

It wasn’t me that made him fall

No, you can’t blame me at all”



Who killed Davey Moore

Why an’ what’s the reason for?



“Not me,” says the boxing writer

Pounding print on his old typewriter

Sayin’, “Boxing ain’t to blame

There’s just as much danger in a football game”

Sayin’, “Fistfighting is here to stay

It’s just the old American way

It wasn’t me that made him fall

No, you can’t blame me at all”



Who killed Davey Moore

Why an’ what’s the reason for?



“Not me,” says the man whose fists

Laid him low in a cloud of mist

Who came here from Cuba’s door

Where boxing ain’t allowed no more

“I hit him, yes, it’s true

But that’s what I am paid to do

Don’t say ‘murder,’ don’t say ‘kill’

It was destiny, it was God’s will”



Who killed Davey Moore

Why an’ what’s the reason for?"
